id,brid,brdate,itemid,itembarcode,itemname,quantity,supplierid,prixachatht,prixdeventeht,prixachat,prixvente,tauxtva,remise,montant,totaltva,lot
1111,1,2023-12-22,129,4005808828845,NIVEA  DEO HOMME  COOL KICK  200ML,6.0,1,8.075,9.666,9.609,11.5,19.0,15.0,57.656,9.206,
1112,1,2023-12-22,124,4005900034847,NIVEA  DEO FEMME INVISIBLE BLACK & WHITE 200ML,6.0,1,8.075,9.666,9.609,11.5,19.0,15.0,57.656,9.206,
1113,1,2023-12-22,126,4005900731838,NIVEA  DEO FEMME  INVISIBLE PURE  B&W 200ML,6.0,1,8.075,10.498,9.609,12.49,19.0,15.0,57.656,9.206,
1114,1,2023-12-22,123,4005808816194,NIVEA  DEO FEMME  FRESH NATURAL 0% ALUMINIUM 200ML,6.0,1,8.075,9.666,9.609,11.5,19.0,15.0,57.656,9.206,
1115,1,2023-12-22,122,4005900755520,NIVEA  DEO FEMME DOUBLE EFFECT 200ML,6.0,1,8.075,9.666,9.609,11.5,19.0,15.0,57.656,9.206,
1116,1,2023-12-22,134,4005900755643,NIVEA  DEO HOMME  FRESH OCEAN 200ML,3.0,1,8.075,9.666,9.609,11.5,19.0,15.0,28.828,4.603,
1117,1,2023-12-22,133,4005900755247,NIVEA  DEO HOMME  FRESH ACTIVE 200ML,3.0,1,8.075,9.666,9.609,11.5,19.0,15.0,28.828,4.603,
1118,1,2023-12-22,132,4005808293674,NIVEA  DEO HOMME  DRY IMPACT 200ML,4.0,1,8.075,9.666,9.609,11.5,19.0,15.0,38.437,6.137,
1119,1,2023-12-22,121,4005900737090,NIVEA  DEO FEMME CLEAN PROTECT,4.0,1,8.075,9.666,9.609,11.5,19.0,15.0,38.437,6.137,
1120,1,2023-12-22,125,4005900371935,NIVEA  DEO FEMME  INVISIBLE FRESH B&W 200ML,6.0,1,8.075,9.666,9.609,11.5,19.0,15.0,57.656,9.206,
1121,1,2023-12-22,127,4005900755483,NIVEA  DEO FEMME PEARL & BEAUTY 200ML,5.0,1,8.075,9.666,9.609,11.5,19.0,15.0,48.046,7.671,
1122,1,2023-12-22,130,4005900493033,NIVEA  DEO HOMME DEEP DARK WOOD 200ML,5.0,1,8.075,9.666,9.609,11.5,19.0,15.0,48.046,7.671,
1123,1,2023-12-22,135,4005900755407,NIVEA  DEO HOMME  FRESH POWER 200ML,4.0,1,8.075,9.666,9.609,11.5,19.0,15.0,38.437,6.137,
