ReceiptID,Barcode,ItemName,Itemcount,ItemBuyPrice,ItemSellPrice,ReceiptDate,Status,ItemEAN,OriginalSellPrice,ReceiptCashier
460,1842,Balais Sofpince,1.0,1.185,2.4,2024-10-01 12:03:25,1,,2.4,
460,2576,Lilas Shp Supreme Proteine 400mL,1.0,10.385,12.9,2024-10-01 12:03:25,1,,12.9,
460,1259,JUDY Javel Parfumé  Fleurs 3L,1.0,3.513,4.2,2024-10-01 12:03:25,1,,4.2,
460,2617,Gillette II femme,2.0,1.309,1.6,2024-10-01 12:03:25,1,,1.6,
460,2713,SENSEA lingettes kids 15p,1.0,1.1,1.5,2024-10-01 12:03:25,1,,1.5,
460,609,raclette crochet 55 cm,1.0,9.57,11.5,2024-10-01 12:03:25,1,,11.5,
460,1219,Manche flexible tonikta,1.0,14.28,18.56,2024-10-01 12:03:25,1,,18.56,
460,1438,SENSEA Cotons Tiges 150P,1.0,1.667,2.1,2024-10-01 12:03:25,1,,2.1,
470,1006,Lilas Clip Nuit 8,3.0,2.528,3.2,2024-11-30 11:12:30,1,,3.2,
470,1513,Signal dentifrices Centre Fresh Bleu 100 ML,1.0,4.833,6.5,2024-11-30 11:12:30,1,,6.5,
470,1247,Colgate Brosse a dent  double action Charcoal M,1.0,3.866,4.5,2024-11-30 11:12:30,1,,4.5,
470,2580,Lilas Shp Supreme 2en1 Réparation 400mL,1.0,9.231,11.15,2024-11-30 11:12:30,1,,11.15,
470,1142,Jaspé EDP femme l'interdit givenchy 50ML,1.0,15.384,20.0,2024-11-30 11:12:30,1,,20.0,
472,171,NIVEA STICK FEMME DRY COMFORT 50ML,1.0,9.002,11.24,2024-12-02 11:11:48,1,,11.24,
490,2505,Narta Bille Homme Classique,2.0,9.913,12.7,2025-03-09 11:26:28,1,,12.7,
491,1570,Elsève Masque huil extr cheveux secs 310ML,1.0,18.51,21.9,2025-03-20 11:03:38,1,,21.9,
491,184,Elsève shp H.EXT CHEVEUX SECS 400ML,1.0,18.842,19.9,2025-03-20 11:03:38,1,,19.9,
491,3283,Cotex Essuie tout Basico de 2+1gratuits,1.0,2.543,2.9,2025-03-20 11:03:38,1,,2.9,
491,1001,Lilas Clip Normal 10 Parfume,1.0,2.676,3.2,2025-03-20 11:03:38,1,,3.2,
492,3283,Cotex Essuie tout Basico de 2+1gratuits,1.0,2.543,2.9,2025-03-21 16:33:16,1,,2.9,
