ReceiptID,Barcode,ItemName,Itemcount,ItemBuyPrice,ItemSellPrice,ReceiptDate,Status,ItemEAN,OriginalSellPrice,ReceiptCashier
12439,1253,Javel Judy 3L + 0.5 L gratuit,1.0,3.82,3.9,2024-07-22 14:45:33,1,,3.9,yosra
12440,1503,Signal Anti-Caries 50ml,1.0,2.0,2.5,2024-07-22 14:47:55,1,,2.5,yosra
12441,1458,Essuie Tout Maxi Citron Cotex,1.0,4.46,5.5,2024-07-22 15:09:54,1,,5.5,yosra
12442,999,Lilas Clip Ultra Nuit 7,1.0,2.899,3.2,2024-07-22 15:53:19,1,,3.2,yosra
12442,1443,Clip Protection Confort 9 maxi Nana,1.0,2.45,2.9,2024-07-22 15:53:19,1,,2.9,yosra
12443,2096,Essuie Tout CLassic 2+1 Cotex,1.0,2.55,3.0,2024-07-22 16:14:35,1,,3.0,yosra
12443,1482,Sunsilk SHP anti casse 600 ml,1.0,6.574,6.9,2024-07-22 16:14:35,1,,6.9,yosra
12444,2009,Veet Cream Rose 100 ML,1.0,7.984,9.5,2024-07-22 16:17:11,1,,9.5,yosra
12445,784,No Limit Deo Homme Hoge Bottle,1.0,4.998,6.5,2024-07-22 16:35:07,1,,6.5,yosra
12445,780,No Limit Deo Homme Aqua,1.0,4.398,6.5,2024-07-22 16:35:07,1,,6.5,yosra
12446,1584,Papier Toilette Cotex x4,1.0,1.95,2.5,2024-07-22 17:03:13,1,,2.5,yosra
12446,2392,Ecran Solaire Uriage 50 ml,1.0,38.08,41.9,2024-07-22 17:03:13,1,,41.9,yosra
12446,1432,Savon Liquide Sensea Grenade,1.0,3.3,3.8,2024-07-22 17:03:13,1,,3.8,yosra
12447,946,Gel Machine Lilas Floral 3L,1.0,16.151,17.8,2024-07-22 17:27:13,1,,17.8,yosra
12447,968,Javel Lilas Classic 3L,1.0,3.53,4.3,2024-07-22 17:27:13,1,,4.3,yosra
