id,benum,datebe,idsupplier,supplier,total,reference,auteur,numfacture,supplieraddress,suppliermatfiscal,userid,paymentstatus,paymentid,brofbe,beofbr,supfacture,factureid
96,0,2024-02-10,11,peaudeauce,221.983,,taher,0,,,1,0,0,0,0,0,0
97,0,2024-02-12,1,SDC,637.915,FAC-202402-2402045,taher,0,,,1,0,0,0,0,0,0
98,0,2024-02-12,1,SDC,264.678,FAC-202402-2402046,taher,0,,,1,0,0,0,0,0,0
99,0,2024-02-13,6,Canal Food ( sunsilk),2723.943,,taher,0,,,1,0,0,0,0,0,0
100,0,2024-02-16,3,Négoce distribution (Judy),861.065,,taher,0,,,1,0,0,0,0,0,0
101,0,2024-02-17,1,SDC,1261.719,FAC-202402-2402055,taher,0,,,1,0,0,0,0,0,0
102,0,2024-02-17,1,SDC,520.992,FAC-202402-2402054,taher,0,,,1,0,0,0,0,0,0
103,0,2024-02-19,1,SDC,260.998,FAC-202402-2402056,taher,0,,,1,0,0,0,0,0,0
104,0,2024-02-20,4,lilas,359.248,BLI 0402218994,taher,0,,,1,0,0,0,0,0,0
105,0,2024-02-20,4,lilas,1017.432,BLI-0410410878,taher,0,,,1,0,0,0,0,0,0
106,0,2024-02-20,1,SDC,12.251,GRATUITé nana,taher,0,,,1,0,0,0,0,0,0
107,0,2024-02-21,1,SDC,1433.656,FAC-202402-2402059,taher,0,,,1,0,0,0,0,0,0
108,0,2024-02-21,1,SDC,990.997,,taher,0,,,1,0,0,0,0,0,0
109,0,2024-02-22,1,SDC,244.131,FAC-202402-2402061,taher,0,,,1,0,0,0,0,0,0
110,0,2024-02-22,3,Négoce distribution (Judy),452.105,,taher,0,,,1,0,0,0,0,0,0
111,0,2024-02-22,1,SDC,287.152,FAC-202402-2402062,taher,0,,,1,0,0,0,0,0,0
112,0,2024-02-26,11,peaudeauce,1879.503,peaudouce 20,taher,0,,,1,0,0,0,0,0,0
113,0,2024-02-26,12,Jaspé,181.951,,taher,0,,,1,0,0,402,0,0,0
114,0,2024-02-27,1,SDC,457.915,FAC-202402-2402066,taher,0,,,1,0,0,0,0,0,0
115,0,2024-02-27,1,SDC,737.69,FAC-202402-2402067,taher,0,,,1,0,0,0,0,0,0
116,0,2024-02-27,8,ESSOURI DISTRIBUTION,1704.658,BL 021440,taher,0,,,1,0,0,0,0,0,0
117,0,2024-02-29,3,Négoce distribution (Judy),1088.486,FAC-9030630879,taher,0,,,1,0,0,0,0,0,0
118,0,2024-02-29,1,SDC,1116.003,FAC-2402068,taher,0,,,1,0,0,0,0,0,0
119,0,2024-03-01,8,ESSOURI DISTRIBUTION,544.684,BL021510,taher,0,,,1,0,0,0,0,0,0
120,0,2024-03-01,13,(GTC) Global Trading Company,224.91,Dr Beckmann F24/92,taher,0,,,1,0,0,0,0,0,0
121,0,2024-03-01,14,Aseptika,213.058,Fc-24/209 ,taher,0,,,1,0,0,0,0,0,0
122,0,2024-03-05,1,SDC,404.067,FAC-202403-2403074,taher,0,,,1,0,0,0,0,0,0
123,0,2024-03-05,4,lilas,350.267,BL .402219271,taher,0,,,1,0,0,0,0,0,0
124,0,2024-03-05,4,lilas,467.094,remplacement Unisex Bon de retour N13,taher,0,,,1,0,0,0,0,0,0
125,0,2024-03-05,4,lilas,1066.31,,taher,0,,,1,0,0,0,0,0,0
126,0,2024-03-06,1,SDC,2300.511,FAC-202403-2403076,taher,0,,,1,0,0,0,0,0,0
127,0,2024-03-06,1,SDC,1256.74,FAC-202403-2403075,taher,0,,,1,0,0,0,0,0,0
128,0,2024-03-07,1,SDC,600.385,FAC-202403-2403077,taher,0,,,1,0,0,0,0,0,0
129,0,2024-03-09,1,SDC,1221.24,FAC-202403-2403082,taher,0,,,1,0,0,0,0,0,0
130,0,2024-03-09,1,SDC,4161.399,FAC-202403-2403079,taher,0,,,1,0,0,0,0,0,0
131,0,2024-03-09,11,peaudeauce,434.436,Peaudouce FC 30 ,taher,0,,,1,0,0,0,0,0,0
132,0,2024-03-11,1,SDC,691.614,BLI 202402-32,taher,0,,,1,0,0,0,0,0,0
133,0,2024-03-11,1,SDC,1035.794,FAC-202403-24030840,taher,0,,,1,0,0,0,0,0,0
134,0,2024-03-11,1,SDC,668.679,FAC-202403-2403085,taher,0,,,1,0,0,0,0,0,0
135,0,2024-03-12,8,ESSOURI DISTRIBUTION,469.8,FC-2428254,taher,0,,,1,0,0,0,0,0,0
136,0,2024-03-14,3,Négoce distribution (Judy),436.366,B.L-80751125,taher,0,,,1,0,0,0,0,0,0
137,0,2024-03-14,1,SDC,1495.655,FAC-202403-2402048,taher,0,,,1,0,0,0,0,0,0
138,0,2024-03-18,1,SDC,1053.738,FAC-202403-2403090,taher,0,,,1,0,0,0,0,0,0
139,0,2024-03-18,1,SDC,279.453,FAC-202403-2403089,taher,0,,,1,0,0,0,0,0,0
140,0,2024-03-19,1,SDC,279.224,FAC-202403-2403091,taher,0,,,1,0,0,0,0,0,0
141,0,2024-03-21,3,Négoce distribution (Judy),840.961,9030647796,Nom Prénom,0,,,1,0,0,0,0,0,0
142,0,2024-03-21,11,peaudeauce,820.474,peaudouce FAC- 30,taher,0,,,1,0,0,0,0,0,0
143,0,2024-03-22,11,peaudeauce,417.666,Peaudouce FAC-,taher,0,,,1,0,0,0,0,0,0
144,0,2024-03-25,6,Canal Food ( sunsilk),1820.4,bl 924644,taher,0,,,1,0,0,0,0,0,0
145,0,2024-03-25,4,lilas,448.476,bl 0402219640,taher,0,,,1,0,0,0,0,0,0
146,0,2024-03-25,15,Trading Distr company,1181.611,,taher,0,,,1,0,0,0,0,0,0
147,0,2024-03-25,4,lilas,152.499,remplacement unisex b retour 15,taher,0,,,1,0,0,0,0,0,0
148,0,2024-03-25,4,lilas,1802.103,bl 0410411457,taher,0,,,1,0,0,0,0,0,0
149,0,2024-03-26,6,Canal Food ( sunsilk),2279.945,Rexona ,taher,0,,,1,0,0,0,0,0,0
150,0,2024-03-26,1,SDC,677.579,FAC-202402-2403098,taher,0,,,1,0,0,0,0,0,0
151,0,2024-03-26,1,SDC,1701.238,FAC-202403-2403099,taher,0,,,1,0,0,0,0,0,0
152,0,2024-03-26,1,SDC,7523.061,maybelline ,taher,0,,,1,0,0,0,0,0,0
153,0,2024-03-28,1,SDC,221.854,Fac-202403-2403104,taher,0,,,1,0,0,0,0,0,0
