Barcode,EAN,Category,ItemName,BuyPrice,SellPrice,ShortcutForeColor,ShortcutBackColor,Status,Shortcut,ItemStock,ItemBrand,delay,unit,StockFaible,ShortCutOrder,startingprice,discount,fodec,tva,marge,buypriceht,sellpriceht,defaultsupplier
933,6192477610067,0,Lilas Poudre Main Clean Citron 160GR,0.606,0.8,-1,-14774017,1,0,78.0,0,0,1,2.0,0,0.509,0.0,0.0,19.0,32.0,0.509,0.672,4933.0
934,6192477611231,30,Lilas Poudre Main Clean Citron 300GR,1.27568,1.403248,-1,-14774017,1,0,0.0,0,0,1,2.0,0,1.072,0.0,0.0,19.0,10.0,1.072,1.1792,28934.0
935,6192477610722,0,Lilas Poudre Main Clean Rose 300GR,1.276,1.403,-1,-14774017,1,0,19.0,0,0,1,2.0,0,1.072,0.0,0.0,19.0,10.0,1.072,1.179,4935.0
936,6192477611071,0,Lilas Poudre Main Clean Citron 1KG,3.776,4.6,-1,-14774017,1,0,12.0,0,0,1,2.0,0,3.173,0.0,0.0,19.0,21.82,3.173,3.865,4936.0
937,6192477610753,0,Lilas Poudre Main Clean Rose 1KG,3.776,4.6,-1,-14774017,1,0,1.0,0,0,1,2.0,0,3.173,0.0,0.0,19.0,21.9,3.173,3.868,22937.0
938,6192477623999,0,Lilas Sols & Surfaces florale  800 ml,3.317,3.8,-1,-14774017,1,0,0.0,0,0,1,2.0,0,2.787,0.0,0.0,19.0,14.5,2.787,3.191,4938.0
939,6192477623944,30,Lilas Sol & Surface Savon de Marseille 800 ml,3.317,3.8,-1,-14774017,1,0,0.0,43,0,1,2.0,0,2.787,0.0,0.0,19.0,14.5,2.787,3.191,0.0
940,6192477620219,30,Lilas gel machine main/semi automatique 3L,11.0,14.3,-1,-14774017,1,0,1.0,43,0,1,2.0,0,9.244,0.0,0.0,19.0,30.0,9.244,12.017,22940.0
943,6192477622442,0,Lilas gel machine active power 5L,25.351,27.351,-1,-14774017,1,0,2.0,43,0,1,2.0,0,21.303,0.0,0.0,19.0,7.89,21.303,22.984,28943.0
944,6192477622176,0,Lilas gel machine clean power 3L,16.151,19.7,-1,-14774017,1,0,2.0,43,0,1,2.0,0,13.572,0.0,0.0,19.0,22.0,13.572,16.558,28944.0
945,6192477622169,0,Lilas gel machine active power 3L,16.149,19.701,-1,-14774017,1,0,9.0,43,0,1,2.0,0,13.571,0.0,0.0,19.0,21.99,13.571,16.555,22945.0
946,6192477623548,30,Lilas gel machine floral 3L,16.15068,17.899798644,-1,-14774017,1,0,0.0,43,0,1,2.0,0,13.572,0.0,0.0,19.0,10.83,13.572,15.0418476,28946.0
947,6192477623364,30,Lilas gel machine  fraîcheur intense 2.5L,16.89919,18.900054096,-1,-14774017,1,0,2.0,43,0,1,2.0,0,14.201,0.0,0.0,19.0,11.84,14.201,15.8823984,22947.0
948,6192477620349,0,Lilas assouplissant fraîcheur lavande 3L,13.881,15.297,-1,-14774017,1,0,6.0,43,0,1,2.0,0,11.665,0.0,0.0,19.0,10.2,11.665,12.855,4948.0
949,6192477620325,30,Lilas assouplissant fraîcheur supreme 3L,13.75164,15.2986995,-1,-14774017,1,0,4.0,43,0,1,2.0,0,11.556,0.0,0.0,19.0,11.25,11.556,12.85605,4949.0
950,6192477620332,0,Lilas assouplissant fraîcheur florale 3L,13.762,15.304,-1,-14774017,1,0,3.0,43,0,1,2.0,0,11.565,0.0,0.0,19.0,11.2,11.565,12.86,4950.0
951,6192477610517,30,Lilas poudre machine Enzymax 5KG,21.79842,24.900335166,-1,-14774017,1,0,3.0,43,0,1,2.0,0,18.318,0.0,0.0,19.0,14.23,18.318,20.9246514,22951.0
952,6192477610487,0,Lilas poudre machine enzymax savon de marseille 4KG,18.8,21.701,-1,-14774017,1,0,2.0,43,0,1,2.0,0,18.8,0.0,0.0,0.0,15.43,18.8,21.701,4952.0
953,6192477610470,30,Lilas poudre machine enzymax anti-tâche 4KG,18.8,21.7,-1,-14774017,1,0,2.0,43,0,1,2.0,0,15.798,0.0,0.0,19.0,15.42,15.798,18.234,4953.0
954,6192477620264,30,Lilas assouplissant florale 1L,5.04917,6.100407194,-1,-14774017,1,0,10.0,43,0,1,2.0,0,4.243,0.0,0.0,19.0,20.82,4.243,5.1263926,28954.0
955,6192477620257,30,Lilas assouplissant supreme 1L,5.04917,6.100407194,-1,-14774017,1,0,0.0,43,0,1,2.0,0,4.243,0.0,0.0,19.0,20.82,4.243,5.1263926,22955.0
956,6192477621810,30,Lilas liquide vaisselle citron 580 L,2.74295,3.799808635,-1,-14774017,1,0,14.0,43,0,1,2.0,0,2.305,0.0,0.0,19.0,38.53,2.305,3.1931165,22956.0
957,6192477621568,0,Lilas liquide vaisselle citron 1L,4.79213,5.900070456,-1,-14774017,1,0,14.0,43,0,1,2.0,0,4.027,0.0,0.0,19.0,23.12,4.027,4.9580424,22957.0
958,6192477621247,30,Lilas Sol & Surface Lavande 1L,3.94961,4.39986554,-1,-14774017,1,0,2.0,43,0,1,2.0,0,3.319,0.0,0.0,19.0,11.4,3.319,3.697366,28958.0
959,6192477623135,30,Lilas liquide vaisselle citron 2.5 L,11.438,13.2,-1,-14774017,1,0,0.0,43,0,1,2.0,0,9.612,0.0,0.0,19.0,15.4,9.612,11.092,0.0
960,6192477624125,30,Lilas extra mouatter jasmin 2L,3.975,4.4,-1,-14774017,1,0,0.0,43,0,1,2.0,0,3.34,0.0,0.0,19.0,10.8,3.34,3.701,0.0
961,6192477623395,0,Lilas liquide vaisselle extra lamma citron jaune 2L,7.2,8.9,-1,-14774017,1,0,5.0,43,0,1,2.0,0,7.2,0.0,0.0,0.0,23.61,7.2,8.9,37961.0
962,6192477624101,30,Lilas Multiusage mounadhef pomme 2 L,6.9853,7.9003743,-1,-14774017,1,0,6.0,43,0,1,2.0,0,5.87,0.0,0.0,19.0,13.1,5.87,6.63897,22962.0
963,6192477621650,0,Lilas multiusage mounadhef pomme 5L,14.29904,16.70127872,-1,-14774017,1,0,3.0,43,0,1,2.0,0,12.016,0.0,0.0,19.0,16.8,12.016,14.034688,22963.0
964,6192477621711,30,Lilas deso mouattar Lavande 5L,6.476,7.9,-1,-14774017,1,0,0.0,43,0,1,2.0,0,5.442,0.0,0.0,19.0,22.0,5.442,6.639,0.0
965,6192477621629,30,Lilas liquide main narjess Laine 5L,16.399,18.7,-1,-14774017,1,0,6.0,43,0,1,2.0,0,13.781,0.0,0.0,19.0,14.05,13.781,15.717,0.0
