id,EAN,itemname,updatedate,itemstock,oldbuyprice,oldsellprice,newbuyprice,newsellprice,username,itemid
1918,6192409006159,DET LOT VAISSELLE PEAUX SENSIBLES 2.5L+600ML,2024-05-09,0.0,13.323,14.6,12.308,14.9,Admin,1078
1919,6192000584698,Savon Liquide Sensea Tonic (promo),2024-05-09,36.0,2.699,3.11,2.699,3.33,Admin,1433
1920,6192000502807,Savon liquide Sensea citron (Promo),2024-05-09,29.0,2.699,3.11,2.699,3.33,Admin,1430
1921,6192000502845,Gel Douche Sensea Grenade & Myrtille,2024-05-09,15.0,3.3,4.4,3.3,4.6,Admin,1616
1922,6192000502821,Gel Douche Sensea Peche de Vigne,2024-05-09,18.0,3.3,4.4,3.3,4.6,Admin,1615
1923,6192000502869,Gel Douche Sensea Lait de Coco et Miel,2024-05-09,21.0,3.3,4.4,3.3,4.6,Admin,1613
1924,6192000502852,Gel Douche Sensea Avocat,2024-05-09,24.0,3.3,4.4,3.3,4.6,Admin,2150
1925,6192000502838,Gel Douche Sensea Algues Marines,2024-05-09,43.0,3.3,4.4,3.3,4.6,Admin,1614
1926,6192000502876,Gel Douche Sensea Huile D'amande & Miel,2024-05-09,8.0,3.7,4.8,3.7,4.6,Admin,1617
1927,6192000502852,Gel Douche Sensea Avocat (Promo),2024-05-09,24.0,3.3,4.6,3.3,3.33,Admin,2150
1928,6192000502906,Gel Douche Sensea Vanille (Promo),2024-05-09,24.0,3.3,4.3,3.3,3.33,Admin,2148
1929,6192000502999,Gel Douche Sensea Espades Spa (Promo),2024-05-09,24.0,3.3,4.4,3.3,3.33,Admin,2149
1930,6192000584704,Savon Liquide Sensea Soft (Promo),2024-05-09,6.0,2.699,3.11,2.699,3.33,Admin,1435
1931,6192002408541,Judy linge 2.6 L (+ 400) Flower auto,2024-05-10,17.0,15.25,19.8,15.25,18.9,Admin,1274
1932,6192002408664,Judy Linge 2.6L (+400) Lavande Auto,2024-05-10,20.0,15.25,19.8,15.25,18.9,Admin,1635
1933,6192002408558,Judy linge 2.6 L (+400) savon auto,2024-05-10,19.0,15.25,19.8,15.25,18.9,Admin,1273
1934,6192440002356,JET 7 G.D MARINZ 2EN1 500ML,2024-05-10,6.0,3.844,5.0,4.296,5.58,Admin,46
1935,6192440002332,JET 7 G.D EXOTIC 500ML,2024-05-10,8.0,3.844,5.0,4.296,5.58,Admin,45
1936,6192440002318,JET 7 G.D FRUTTI 500ML,2024-05-10,6.0,3.844,5.0,4.296,5.58,Admin,42
1937,6192440002349,JET 7 G.D FLORAL 500ML,2024-05-10,6.0,3.844,5.0,4.296,5.58,Admin,43
1938,6192440002325,JET 7 G.D CITRUS 500ML,2024-05-10,6.0,3.844,5.0,4.296,5.58,Admin,44
1939,6192440002325,JET 7 G.D CITRUS 500ML,2024-05-10,6.0,4.296,5.58,4.296,5.6,Admin,44
1940,6192440002356,JET 7 G.D MARINZ 2EN1 500ML,2024-05-10,6.0,4.296,5.58,4.296,5.6,Admin,46
1941,6192440002349,JET 7 G.D FLORAL 500ML,2024-05-10,6.0,4.296,5.58,4.296,5.6,Admin,43
1942,6192440002318,JET 7 G.D FRUTTI 500ML,2024-05-10,6.0,4.296,5.58,4.296,5.6,Admin,42
1943,6192440002332,JET 7 G.D EXOTIC 500ML,2024-05-10,8.0,4.296,5.58,4.296,5.6,Admin,45
1944,6192440002578,Jet 7 Gel douche Double Black,2024-05-10,0.0,4.409,5.73,4.409,5.6,Admin,2165
