id,EAN,itemname,updatedate,itemstock,oldbuyprice,oldsellprice,newbuyprice,newsellprice,username,itemid
1786,6130552005483,Essuie Tout Maxi Citron Cotex,2024-04-04,31.0,4.551,5.5,4.501,5.5,Admin,1458
1787,6130552009320,Esuie Tout Maxi Fleur orangé x2 Cotex,2024-04-04,0.0,4.75,5.5,4.501,5.5,Admin,1459
1788,6192002402280,Judy Vitre 3en1 500 ml bleu Pistolet,2024-04-04,4.0,4.61,5.5,4.249,5.2,Admin,1264
1789,6130552006503,Essuie Tout CLassic 2+1 Cotex,2024-04-04,34.0,2.25,2.9,2.25,3.0,Admin,2096
1790,8720181032226,Axe Déodorant  Africa,2024-04-05,5.0,7.651,10.4,7.651,9.6,Admin,1868
1791,8720181027703,Axe Déodorant  Ice Breaker,2024-04-05,5.0,7.651,10.4,7.651,9.6,Admin,1866
1792,8720181030222,Axe Déodorant  Gold Temptation,2024-04-05,5.0,7.651,10.4,7.651,9.6,Admin,1871
1793,8720181027390,Axe Déodorant  You,2024-04-05,6.0,7.651,10.4,7.651,9.6,Admin,1872
1794,8720181029233,Axe Déodorant  Black Frozen,2024-04-05,6.0,7.651,10.4,7.651,9.6,Admin,1865
1795,8710908052040,Axe Déodorant  Black Night,2024-04-05,12.0,7.651,10.4,7.651,9.6,Admin,1867
1796,8720181031595,Axe Déodorant Anarchy For Him,2024-04-05,5.0,7.651,10.4,7.651,9.6,Admin,1870
1797,8720181029363,Axe Déodorant  Dark Temptation,2024-04-05,12.0,7.651,10.4,7.651,9.6,Admin,1869
1798,6192005223653,LELLA DEO SENSUELLE 150ML,2024-04-06,2.0,3.894,4.9,3.207,3.3,Admin,354
1799,6192005223653,LELLA DEO SENSUELLE 150ML,2024-04-06,2.0,3.207,3.3,3.207,3.33,Admin,354
1800,6192440000024,JET 7 GEL A COIFFER 1 KG,2024-04-06,6.0,4.239,5.5,4.239,4.9,Admin,56
1801,5285001951260,ELEGANCE GEL VIOLET (Promo)  250 GR,2024-04-06,6.0,4.147,5.4,3.303,3.3,Admin,333
1802,5285001951291,ELEGANCE GEL MELITAIRE (Promo) 250 GR,2024-04-07,-1.0,4.147,5.4,3.171,3.33,Admin,334
1803,6192005211247,BILLE LELLA MISS 50ML,2024-04-09,48.0,2.63,3.6,2.475,3.33,Admin,356
1804,6192005211247,BILLE LELLA MISS 50ML,2024-04-09,48.0,2.475,3.33,2.475,3.6,Admin,356
1805,6192005211247,BILLE LELLA MISS 50ML,2024-04-09,48.0,2.475,3.6,2.475,3.33,Admin,356
1806,6192005211254,BILLE LELLA DESIRE 50ML,2024-04-09,6.0,2.63,3.6,2.63,3.33,Admin,359
1807,6192002408664,Judy Linge 2.6L +0400mL Lavande Auto,2024-04-12,7.0,15.95,18.4,16.501,18.4,Admin,1635
1808,6192002408664,Judy Linge 2.6L +0400mL Lavande Auto,2024-04-12,11.0,16.501,18.4,16.501,19.8,Admin,1635
1809,6221048408427,Signal Cavity Fighter Miswak 50 ml,2024-04-13,0.0,2.098,2.5,2.0,2.5,Admin,1504
1810,6221048407796,Signal Anti-Caries 50ml,2024-04-13,0.0,2.098,2.5,2.0,2.5,Admin,1503
1811,6192000719373,Sunsilk SHP anti casse 600 ml,2024-04-13,92.0,6.95,7.75,6.574,7.75,Admin,1482
1812,6192000719342,Sunsilk SHP Anti Péliculaire  600 ml,2024-04-13,82.0,6.268,7.75,6.574,7.75,Admin,1483
1813,6192000719366,Sunsilk SHP lisses  600 ml,2024-04-13,81.0,6.268,7.75,6.574,7.75,Admin,1485
1814,6192000719373,Sunsilk SHP anti casse 600 ml,2024-04-13,92.0,6.574,7.75,6.904,7.75,Admin,1482
1815,6192000719342,Sunsilk SHP Anti Péliculaire  600 ml,2024-04-13,82.0,6.574,7.75,6.268,7.39,Admin,1483
1816,6192000719342,Sunsilk SHP Anti Péliculaire  600 ml,2024-04-13,82.0,6.268,7.39,6.268,7.75,Admin,1483
1817,6192000719366,Sunsilk SHP lisses  600 ml,2024-04-13,81.0,6.574,7.75,6.268,7.75,Admin,1485
1818,6192000719373,Sunsilk SHP anti casse 600 ml,2024-04-13,92.0,6.904,7.75,6.916,7.75,Admin,1482
1819,6192000719366,Sunsilk SHP lisses  600 ml,2024-04-13,81.0,6.268,7.75,6.574,7.75,Admin,1485
1820,6192000719342,Sunsilk SHP Anti Péliculaire  600 ml,2024-04-13,82.0,6.268,7.75,6.574,7.75,Admin,1483
1821,6192000719373,Sunsilk SHP anti casse 600 ml,2024-04-13,92.0,6.916,7.75,6.574,7.75,Admin,1482
1822,6221155061850,Signal Blancheur 75 ml,2024-04-13,44.0,4.854,5.8,4.078,5.1,Admin,1498
1823,8697926020254,CLASS DEO FEMME INNOCENCE 150ML,2024-04-15,20.0,3.331,3.33,3.844,5.0,Admin,67
1824,8697926020247,CLASS DEO FEMME ADDICT 150ML,2024-04-15,6.0,3.844,5.2,3.844,5.0,Admin,68
1825,8697926020322,CLASS DEO  HOMME CHOCO 150ML,2024-04-15,11.0,3.844,5.2,3.844,5.0,Admin,64
1826,6192005223653,LELLA DEO SENSUELLE 150ML,2024-04-15,81.0,3.207,3.33,3.894,5.0,Admin,354
1827,6192005223677,LELLA DEO IRRÉRISTIBLE 150ML,2024-04-15,27.0,3.331,3.33,3.894,5.0,Admin,355
1828,8697926024153,CLASS DEO HOMME BY GRAY (promo) 150ML,2024-04-15,85.0,3.328,3.33,3.844,5.0,Admin,65
1829,5285001951215,ELEGANCE GEL JAUNE (Promo) 250 GR,2024-04-15,14.0,3.025,3.33,4.147,5.4,Admin,335
1830,5285001951277,ELEGANCE GEL BLEU (Promo) 250 GR,2024-04-15,5.0,3.025,3.33,4.147,5.41,Admin,2020
1831,5285001951277,ELEGANCE GEL BLEU 250 GR,2024-04-15,5.0,4.147,5.41,4.147,5.4,Admin,2020
1832,5285001951291,ELEGANCE GEL MELITAIRE 250 GR,2024-04-15,3.0,3.171,3.33,4.147,5.4,Admin,334
1833,5285001951208,ELEGANCE GEL BLEU CIEL 250 GR,2024-04-15,7.0,3.025,3.33,4.147,5.4,Admin,332
1834,5285001951222,ELEGANCE GEL ROSE (Promo) 250 GR,2024-04-15,6.0,3.025,3.33,4.147,5.4,Admin,2021
1835,5285001951192,ELEGANCE GEL GRIS 250 GR,2024-04-15,9.0,3.025,3.33,4.147,5.4,Admin,336
1836,6192011804068,Serviette de Table 23*23,2024-04-15,18.0,0.928,1.21,0.928,1.2,Admin,1036
1837,7702018978120,GILLETTE STICK COOL WAVE,2024-04-16,8.0,11.662,14.9,12.852,15.4,Admin,268
1838,7702018877478,Gillette lames fusion IIIII*2,2024-04-16,3.0,27.856,36.21,28.274,36.2,Admin,722
1839,6192488202336,R.B oxydant 20 vol 60ml,2024-04-17,149.0,0.001,0.0,0.762,0.99,Admin,1372
1840,8053264517830,Oxydant Mood 20,2024-04-17,79.0,0.003,0.0,2.61,3.4,Admin,2022
1841,6130552006503,Essuie Tout CLassic 2+1 Cotex,2024-04-18,37.0,2.25,3.0,2.35,3.0,Admin,2096
1842,6192477610487,Poudre Machine Enzymax Savon Marseille Lilas 4KG,2024-04-19,4.0,22.351,24.5,19.802,21.79,Admin,952
1843,6192477610487,Poudre Machine Enzymax Savon Marseille Lilas 4KG,2024-04-19,4.0,19.802,21.79,19.802,21.8,Admin,952
1844,6192011809353,Lingette Bebe 72 Confort Max Avec Lid,2024-04-19,12.0,4.29,5.15,4.089,4.9,Admin,989
1845,6192011813701,Protege Slip Confort Plus Extra Long Parfume,2024-04-19,24.0,2.588,3.3,2.882,3.45,Admin,1007
1846,6192011803764,Lilas Protege Slip conf plus long parfumé,2024-04-19,13.0,2.714,3.2,2.43,3.2,Admin,1894
1847,6192011813817,Lilas Protége Slip 20 normal,2024-04-19,26.0,2.588,3.2,2.43,3.2,Admin,1544
1848,6192011803771,Protege Slip Sensation Fraicheur,2024-04-19,12.0,2.882,3.05,2.882,3.2,Admin,1009
1849,6192011813817,Lilas Protége Slip 20 normal,2024-04-19,26.0,2.43,3.2,2.882,3.5,Admin,1544
1850,6192011803764,Lilas Protege Slip conf plus long parfumé,2024-04-19,13.0,2.43,3.2,2.882,3.5,Admin,1894
1851,6192011803771,Protege Slip Sensation Fraicheur,2024-04-19,12.0,2.882,3.2,2.882,3.5,Admin,1009
1852,6192011813701,Protege Slip Confort Plus Extra Long Parfume,2024-04-19,24.0,2.882,3.45,2.882,3.5,Admin,1007
1853,8682960500169,Savon Doxa 150 gr elegance,2024-04-22,26.0,2.639,3.45,2.639,3.33,Admin,625
1854,8682960502736,Savon Doxa beauty  150 gr lavande (Promo),2024-04-22,41.0,2.639,3.45,2.639,3.33,Admin,628
1855,8682960502705,Savon Doxa beauty 150 gr Rose (Promo),2024-04-22,43.0,2.639,3.45,2.639,3.33,Admin,627
1856,6281001341123,Palmolive Savon 120 g Tender Sensation (Promo),2024-04-22,11.0,3.064,3.8,3.064,3.33,Admin,2001
1857,6281001341147,Palmolive Savon 120 g Moisturizing Freshness (Promo),2024-04-22,12.0,3.064,3.8,3.064,3.33,Admin,2003
1858,6281001341130,Palmolive Savon 120 g Moisture care (Promo),2024-04-22,10.0,3.064,3.8,3.064,3.33,Admin,2002
1859,6281001341116,Palmolive Savon 120 g Balance Softness (Promo),2024-04-22,11.0,3.064,3.8,3.064,3.33,Admin,2004
1860,6281001341178,Palmolive Savon 120 g Herbal Extract (Promo),2024-04-22,12.0,3.064,3.8,3.064,3.33,Admin,2005
1861,8682960500176,Savon Doxa 150 gr white pearl (Promo),2024-04-22,28.0,2.639,3.45,2.639,3.33,Admin,626
1862,8695122001992,Porte Savon (Promo),2024-04-22,25.0,2.729,3.55,2.729,3.33,Admin,539
1863,8695122006492,Porte savon (Promo),2024-04-22,5.0,1.98,2.6,1.98,3.33,Admin,550
1864,6192005223653,LELLA DEO SENSUELLE 150ML,2024-04-23,81.0,3.894,5.0,2.978,3.33,Admin,354
1865,8697926020254,CLASS DEO FEMME INNOCENCE 150ML,2024-04-23,20.0,3.844,5.0,2.939,3.33,Admin,67
1866,6192005223677,LELLA DEO IRRÉRISTIBLE 150ML,2024-04-23,27.0,3.894,5.0,2.978,3.33,Admin,355
1867,8697926024153,CLASS DEO HOMME BY GRAY 150ML,2024-04-23,84.0,3.844,5.0,2.939,3.33,Admin,65
1868,3282779355773,Avène Ecran Solaire 50 SPF Sans Parfum 50 mL,2024-04-25,11.0,26.099,33.9,26.099,36.8,Admin,2123
1869,8697926020322,CLASS DEO  HOMME CHOCO 150ML,2024-04-27,9.0,3.844,5.0,3.165,3.33,Admin,64
1870,8697926020247,CLASS DEO FEMME ADDICT 150ML,2024-04-27,6.0,3.844,5.0,3.165,3.33,Admin,68
1871,01010101010101,100 Pailles Flexible,2024-05-02,-2.0,0.933,1.2,0.89,1.15,Admin,2128
1872,6192002401269,Judy Nettoyant 3 L Pomme,2024-05-02,3.0,8.0,9.6,9.461,10.9,Admin,1276
1873,6192002401368,Judy Nettoyant 3 L Savon,2024-05-02,1.0,8.0,9.6,9.461,10.9,Admin,1275
1874,6192002420147,Judy Nettoyant 3 L Océan,2024-05-02,5.0,8.0,9.6,8.0,10.8,Admin,1277
1875,6192002420147,Judy Nettoyant 3 L Océan,2024-05-02,5.0,8.0,10.8,8.0,10.9,Admin,1277
1876,6192002401245,Judy Nettoyant 3 L Citron,2024-05-02,3.0,8.0,9.6,8.0,10.9,Admin,1278
1877,6192409005497,COTONA MEGA,2024-05-03,91.0,3.88,4.7,3.88,4.5,Admin,1109
1878,4005808804344,NIVEA APRÉS SOLEIL FRAICHEUR 200 ML,2024-05-03,6.0,21.343,27.74,21.343,27.75,Admin,164
1879,4005900465726,NIVEA PROTECT & BRONZE 200 ML,2024-05-03,6.0,38.842,50.49,38.842,50.5,Admin,163
1880,4005900241238,NIVEA HUILE CAROTÈNE BRONZAGE DORÉ 200 ML,2024-05-03,6.0,22.556,29.32,22.556,29.5,Admin,162
1881,4005808654024,NIVEA  CAROTENE SUN LOTION 200 ML,2024-05-03,3.0,25.035,32.55,25.035,32.6,Admin,160
1882,4005900720092,NIVEA APRÉS SOLEIL HYDRATANT 200 ML,2024-05-03,6.0,21.343,27.74,21.343,27.8,Admin,159
1883,4005900363695,NIVEA KIDS SWIM & PLAY 150 ML,2024-05-03,7.0,47.642,61.93,47.642,59.9,Admin,161
1884,3600531429911,Maybelline Palette The Burgundy,2024-05-03,3.0,67.116,87.0,67.116,79.87,Admin,1986
1885,30174191,Maybelline Super Stay Ink Crayon À Lèvres 20,2024-05-03,3.0,31.773,40.99,31.773,37.81,Admin,1983
1886,3600531429911,Maybelline Palette The Burgundy,2024-05-03,3.0,67.116,79.87,67.116,86.7,Admin,1986
1887,30174191,Maybelline Super Stay Ink Crayon À Lèvres 20,2024-05-03,3.0,31.773,37.81,31.773,40.99,Admin,1983
1888,6192477630478,Lilas Javel Classic 3L+1L GRATUIT,2024-05-04,16.0,3.879,4.3,3.879,4.5,Admin,2100
1889,6192477630041,Javel Lilas Classic 3L,2024-05-04,35.0,3.53,4.1,3.53,4.3,Admin,968
1890,6192477630478,Lilas Javel Classic 3L+1L GRATUIT,2024-05-04,16.0,3.879,4.5,3.879,4.3,Admin,2100
1891,6192002403133,Javel Judy 3L + 1L gratuit,2024-05-04,37.0,3.82,4.5,3.82,4.3,Admin,1253
1892,3574661587745,JOHNSON SAVON LIQUIDE MENTHE,2024-05-04,7.0,6.962,9.05,6.962,8.1,Admin,275
1893,3574661587028,JOHNSON SAVON LIQUIDE CITRON,2024-05-04,7.0,6.962,9.05,6.962,8.1,Admin,276
1894,6192400682147,Lingette Bébé Peaudouce 72,2024-05-04,0.0,4.349,4.99,4.349,4.9,Admin,1439
1895,6192477623388,Gel Machine Lilas Savon de Marseille 2.5 L,2024-05-06,3.0,16.101,19.0,16.101,18.7,Admin,1879
1896,6192017316053,A/Shp Rojanet,2024-05-06,4.0,2.547,3.31,2.547,3.33,Admin,1788
1897,6192017323013,Shp Baby Bubble,2024-05-06,2.0,2.617,3.4,2.617,3.33,Admin,1787
1898,6281006591066,Savon Dove,2024-05-06,0.0,3.582,4.66,3.582,4.3,Admin,2133
1899,6192488205870,R.B Gel Douche Tropical 470 ml,2024-05-06,5.0,4.179,5.4,4.179,7.5,Admin,814
1900,6192488208574,R.B Gel Douche Sweet 470 ml,2024-05-06,5.0,4.179,5.4,4.179,7.5,Admin,817
1901,6192488208581,R.B Gel Douche Délicious 470 ml,2024-05-06,3.0,4.179,5.4,4.179,7.5,Admin,815
1902,6192488206464,R.B Gel Douche Exotic 470 ml,2024-05-06,4.0,4.179,5.4,4.179,7.5,Admin,816
1903,6192488208673,R.B Gel Douche soft,2024-05-06,6.0,4.179,5.4,4.179,7.5,Admin,1578
1904,6192488205856,R.B Gel Douche Sensuel 470 ml,2024-05-06,8.0,4.179,5.4,4.179,7.5,Admin,812
1905,6192488205986,R.B Gel Douche Relaxing 470 ml,2024-05-06,7.0,4.179,5.4,4.179,7.5,Admin,813
1906,6192488205894,R.B Gel Douche energizing,2024-05-06,6.0,4.179,5.4,4.179,7.5,Admin,811
1907,6192011814173,Essuie-Tout Ultra Doux,2024-05-08,36.0,1.852,2.45,1.852,2.5,Admin,2143
1908,6192011808042,ET 2 Lilas Clean Blanc,2024-05-08,36.0,1.871,2.4,1.871,2.5,Admin,1020
1909,6192011813893,ET 2 Lilas Narcisse,2024-05-08,27.0,1.889,2.45,1.889,2.5,Admin,1019
1910,6192488208574,R.B Gel Douche Sweet 470 ml,2024-05-08,5.0,4.179,7.5,4.179,5.4,Admin,817
1911,6192488205894,R.B Gel Douche energizing,2024-05-08,6.0,4.179,7.5,4.179,5.4,Admin,811
1912,6192488205870,R.B Gel Douche Tropical 470 ml,2024-05-08,5.0,4.179,7.5,4.179,5.4,Admin,814
1913,6192488208581,R.B Gel Douche Délicious 470 ml,2024-05-08,3.0,4.179,7.5,4.179,5.4,Admin,815
1914,6192488208673,R.B Gel Douche soft,2024-05-08,5.0,4.179,7.5,4.179,5.4,Admin,1578
1915,6192488206464,R.B Gel Douche Exotic 470 ml,2024-05-08,4.0,4.179,7.5,4.179,5.4,Admin,816
1916,6192488205986,R.B Gel Douche Relaxing 470 ml,2024-05-08,7.0,4.179,7.5,4.179,5.4,Admin,813
1917,6192488205856,R.B Gel Douche Sensuel 470 ml,2024-05-08,8.0,4.179,7.5,4.179,5.4,Admin,812
