id,factid,factdate,itemid,itembarcode,itemname,quantity,supplierid,prixachatht,prixdeventeht,prixachat,prixvente,tauxtva,remise,fodec,montant,totaltva,totalremise,totalfodec
18,1,2024-10-19 10:27:35,358,6192005212756,BILLE LELLA SENSUALITY 50ML,12.0,1,2.08,2.8,2.475,3.33,19.0,20.0,0.0,31.9872,5.1072,6.72,0.0
19,1,2024-10-19 10:27:35,354,6192005223653,LELLA DEO SENSUELLE 150ML,12.0,1,2.772,2.8,3.299,3.33,19.0,28.0,0.0,28.78848,4.59648,9.408,0.0
20,1,2024-10-19 10:27:35,355,6192005223677,LELLA DEO IRRÉRISTIBLE 150ML,12.0,1,2.772,2.8,3.299,3.33,19.0,28.0,0.0,28.78848,4.59648,9.408,0.0
21,1,2024-10-19 10:27:35,353,6192005227088,LELLA DEO ORIENTALE 150ML,5.0,1,3.273,4.193,3.894,4.99,19.0,15.0,0.0,21.2060975,3.3858475,3.14475,0.0
22,1,2024-10-19 10:27:35,348,6192005223608,LELLA PARFUM BELLE 90ML,4.0,1,17.85,23.205,21.242,27.61,19.0,15.0,0.0,93.88743,14.99043,13.923,0.0
23,1,2024-10-19 10:27:35,346,6192005224728,LELLA PARFUM OUD 90ML,12.0,1,17.85,23.205,21.242,27.61,19.0,15.0,0.0,281.66229,44.97129,41.769,0.0
24,1,2024-10-19 10:27:35,347,6192005224711,LELLA PARFUM ORIENTALE 90ML,12.0,1,17.85,23.205,21.242,27.61,19.0,15.0,0.0,281.66229,44.97129,41.769,0.0
25,1,2024-10-19 10:27:35,345,6192005223592,LELLA PARFUM SENSUELLE 90ML,3.0,1,17.85,23.205,21.242,27.61,19.0,15.0,0.0,70.4155725,11.2428225,10.44225,0.0
26,1,2024-10-19 10:27:35,357,6192005212763,BILLE LELLA TAJ MOON 50ML,12.0,1,2.08,2.8,2.475,3.33,19.0,20.0,0.0,31.9872,5.1072,6.72,0.0
27,1,2024-10-19 10:27:35,352,6192005227071,LELLA DEO OUD 150ML,12.0,1,3.273,4.193,3.894,4.99,19.0,15.0,0.0,50.894634,8.126034,7.5474,0.0
28,1,2024-10-19 10:27:35,20,3610340652332,U.DA/SHP CHARBON NOIR ET HUILE DE NIGELLE,12.0,1,7.92,9.496,9.425,11.3,19.0,10.0,0.0,122.042592,19.485792,11.3952,0.0
29,1,2024-10-19 10:27:35,21,3610340634482,U.D A/SHP LAIT D'AMANDE,11.0,1,7.92,9.496,9.425,11.3,19.0,10.0,0.0,111.872376,17.861976,10.4456,0.0
30,1,2024-10-19 10:27:35,22,3600540539397,U.D CRÈME SANS RINÇAGE AVOCAT 200ML,6.0,1,13.815,16.385,16.44,19.5,19.0,10.0,0.0,105.29001,16.81101,9.831,0.0
31,1,2024-10-19 10:27:35,23,3600541696716,U.D CRÈME SANS RINÇAGE OLIVE 200ML,6.0,1,13.815,16.385,16.44,19.5,19.0,10.0,0.0,105.29001,16.81101,9.831,0.0
32,1,2024-10-19 10:27:35,24,3600542164412,U.D CRÈME SANS RINÇAGE LAIT D'AMANDE 200ML,6.0,1,13.815,16.385,16.44,19.5,19.0,10.0,0.0,105.29001,16.81101,9.831,0.0
33,1,2024-10-19 10:27:35,25,3600542402408,U.D CRÈME SANS RINÇAGE CHARBON 200ML,6.0,1,13.815,16.385,16.44,19.5,19.0,10.0,0.0,105.29001,16.81101,9.831,0.0
34,1,2024-10-19 10:27:35,26,3600542375160,U.D CRÈME SANS RINÇAGE TRÉSOR 200ML,6.0,1,13.815,16.385,16.44,19.5,19.0,10.0,0.0,105.29001,16.81101,9.831,0.0
35,1,2024-10-19 10:27:35,32,3600542509725,U.D MASQUE OLIVE 340ML,12.0,1,12.376,13.865,14.727,16.5,19.0,9.0,0.0,180.172902,28.767102,14.9742,0.0
36,1,2024-10-19 10:27:35,34,3600542370318,U.D MASQUE HAIRFOOD PAPAYE 390 ML,12.0,1,15.795,18.148,18.796,21.6,19.0,10.0,0.0,233.238096,37.239696,21.7776,0.0
