id,beid,bedate,itemid,itembarcode,itemname,quantity,supplierid,prixachatht,prixdeventeht,prixachat,prixvente,tauxtva,remise,fodec,montant,totaltva,totalremise,totalfodec,lot
1690,9,2024-09-24,16,3600541702486,U.D A/SHP OLIVE MYTIQUE,12.0,1,8.008,10.41,9.53,12.39,19.0,9.0,0.0,114.354,18.258,0.0,0.0,
1691,9,2024-09-24,17,3610340584428,U.D A/SHP TRÉSOR DE MIEL,12.0,1,8.008,10.41,9.53,12.39,19.0,9.0,0.0,114.354,18.258,0.0,0.0,
1692,9,2024-09-24,18,3610340079986,U.D A/SHP RINCIN D'AMANDE,12.0,1,8.008,10.41,9.53,12.39,19.0,9.0,0.0,114.354,18.258,0.0,0.0,
1693,9,2024-09-24,19,3610340584381,U.D A/SHP CAMOMILLE / MIEL,12.0,1,8.008,10.41,9.53,12.39,19.0,9.0,0.0,114.354,18.258,0.0,0.0,
1694,9,2024-09-24,1,3610340232435,U.D SHP AVOCAT -KARITÉ 200ML,12.0,1,6.939,9.021,8.257,10.74,19.0,9.0,0.0,99.089,15.821,0.0,0.0,
1695,6,2023-09-30,315,8006540331231,FIXODENT CRÈME ADHÉSIVE NEUTRAL,60.0,1,12.75,16.575,15.173,19.72,19.0,0.0,0.0,910.35,145.35,0.0,0.0,
1696,6,2023-09-30,314,8006540331392,FIXODENT CRÈME ADHÉSIVE MENTHE,12.0,1,12.75,16.575,15.173,19.72,19.0,0.0,0.0,182.07,29.07,0.0,0.0,
1697,6,2023-09-30,321,3760082620035,COTON PLUS DISQUES 80PIÉCES,24.0,1,2.95,3.835,3.511,4.56,19.0,0.0,0.0,84.252,13.452,0.0,0.0,
1698,6,2023-09-30,306,3014260099299,ORAL-B BROSSE A DENTS  ENFANT ( 3-5 ANS ),60.0,1,4.333,5.633,5.156,6.7,19.0,0.0,0.0,309.376,49.396,0.0,0.0,
1699,6,2023-09-30,320,8904304581321,RK LAME STAINLESS,100.0,1,0.75,0.975,0.893,1.16,19.0,0.0,0.0,89.25,14.25,0.0,0.0,
1700,6,2023-09-30,294,6990577325801,BRIQUET SHARK,250.0,1,0.282,0.367,0.336,0.44,19.0,0.0,0.0,83.895,13.395,0.0,0.0,
1701,6,2023-09-30,295,8412765508905,BRIQUET CLIPPER GM,240.0,1,1.041,1.353,1.239,1.61,19.0,0.0,0.0,297.31,47.47,0.0,0.0,
1702,6,2023-09-30,309,3574661578491,LPM GD  LAIT DE VANILLE 250ML,5.0,1,5.75,7.475,6.843,8.9,19.0,0.0,0.0,34.212,5.462,0.0,0.0,
1703,6,2023-09-30,310,3574661319308,LPM GD GRENADE 250ML,12.0,1,5.75,7.475,6.843,8.9,19.0,0.0,0.0,82.11,13.11,0.0,0.0,
1704,6,2023-09-30,311,3574661319216,LPM GD AU PAYS DU MIEL 250ML,3.0,1,5.75,7.475,6.843,8.9,19.0,0.0,0.0,20.527,3.277,0.0,0.0,
1705,6,2023-09-30,308,3574661381824,LPM CRÉME DE DOUCHE SUBLIMANTE 250ML,12.0,1,6.0,7.8,7.14,9.28,19.0,0.0,0.0,85.68,13.68,0.0,0.0,
1706,6,2023-09-30,312,4015600756758,DENTIFRICE CREST COMPLETE 7 100ML,24.0,1,4.418,5.743,5.257,6.84,19.0,5.0,0.0,126.178,20.146,0.0,0.0,
1707,6,2023-09-30,313,5410076418145,DENTIFRICE CREST 3D WHITE 100ML,24.0,1,4.418,5.743,5.257,6.84,19.0,5.0,0.0,126.178,20.146,0.0,0.0,
1708,6,2023-09-30,316,6192016401019,SUCRE ZINA MIEL 200GR,45.0,1,2.375,3.088,2.826,3.67,19.0,5.0,0.0,127.181,20.306,0.0,0.0,
1709,6,2023-09-30,317,6192016401644,SUCRE ZINA ROSE 200GR,45.0,1,2.375,3.088,2.826,3.67,19.0,5.0,0.0,127.181,20.306,0.0,0.0,
1710,6,2023-09-30,318,6192016401002,SUCRE ZINA SIMPLE200GR,45.0,1,2.138,2.779,2.544,3.31,19.0,5.0,0.0,114.49,18.28,0.0,0.0,
